complaint_id,date_received,date_closed,product,issue,sub_issue,company_type,state,complaint_text,resolution,resolution_days,compensation_aud
AFCA-2023-00019,2023-02-20,2023-04-15,Banking,Scam loss,Authorised push payment,Bank,SA,"I was scammed into transferring $18,500 to a fraudulent investment platform. I reported the scam within 2 hours but my bank says they cannot recover the funds. I believe the bank should have had better fraud detection systems and should have flagged the unusual transaction pattern.",Resolved - by negotiation,54,9250.00
AFCA-2023-00020,2023-02-22,2023-03-22,Life Insurance,Premium,Non-disclosure,Insurer,WA,"My life insurance claim was denied due to alleged non-disclosure of a pre-existing condition. I disclosed my full medical history at the time of application and answered all questions truthfully. The insurer is relying on a GP visit from 2015 where I mentioned occasional headaches.",Resolved - in favour of complainant,28,0.00
AFCA-2023-00021,2023-02-25,2023-03-18,Credit Card,Reward points,Points expiry,Bank,VIC,"My 125,000 reward points valued at approximately $625 were expired without adequate notice. The bank claims they sent an email notification but I never received it. The terms state points expire after 36 months but I believe the notification was insufficient under consumer law.",Resolved - in favour of complainant,21,625.00
AFCA-2023-00022,2023-02-28,2023-04-20,Home Loan,Offset account,Interest not applied,Bank,NSW,"My offset account balance of $85,000 was not correctly offsetting my home loan interest for approximately 8 months due to a system error. The bank acknowledges the error but is only offering to refund $2,400 in overcharged interest. My calculations show the overcharge is closer to $3,800.",Resolved - in favour of complainant,51,3800.00
AFCA-2023-00023,2023-03-01,2023-03-22,General Insurance,Claim denial,Travel insurance,Insurer,QLD,"My travel insurance claim for $8,500 in medical expenses was denied because the insurer says my pre-existing asthma was not disclosed. I declared my asthma on the application form and paid an additional premium for coverage. I have the receipt confirming the additional premium payment.",Resolved - in favour of complainant,21,8500.00
AFCA-2023-00024,2023-03-05,2023-04-25,Personal Loan,Debt collection,Harassment,Debt collector,VIC,"A debt collector has been calling me 3-4 times daily and has also contacted my employer. The debt relates to a personal loan that I have been disputing as the amount is incorrect. The collector's conduct breaches ACCC debt collection guidelines and is causing me significant distress.",Resolved - in favour of complainant,51,0.00
AFCA-2023-00025,2023-03-08,2023-03-29,Superannuation,Switching,Delay in processing,Super fund,TAS,"I requested to switch my superannuation investment option from High Growth to Cash 3 weeks ago due to market volatility concerns. The fund has not processed my switch and the market has dropped 8% in that time, resulting in an estimated loss of $12,000.",Resolved - in favour of complainant,21,12000.00
AFCA-2023-00026,2023-03-10,2023-04-30,Credit Card,Credit limit,Unsolicited increase,Bank,SA,"My credit card limit was increased from $8,000 to $15,000 without my request or consent. I have a history of financial difficulty and had previously asked the bank not to increase my limit. This increase has led to additional debt of $5,000 that I cannot afford to repay.",Resolved - in favour of complainant,51,5000.00
AFCA-2023-00027,2023-03-12,2023-04-02,Home Loan,Valuation,Low property valuation,Bank,NSW,"My bank arranged a property valuation for my refinance application that came in at $680,000 - significantly below recent comparable sales of $780,000-$820,000 in my area. As a result my LVR is too high for the product I applied for. I believe the valuation is inaccurate and biased.",Resolved - by negotiation,21,0.00
AFCA-2023-00028,2023-03-15,2023-05-10,General Insurance,Cash settlement,Below market value,Insurer,VIC,"My insurer offered a cash settlement of $22,000 for my written-off vehicle which I believe is worth at least $28,000 based on comparable listings. The insurer used automated valuation data that does not account for the low kilometres and excellent condition of my vehicle.",Resolved - in favour of complainant,56,28000.00
AFCA-2023-00029,2023-03-18,2023-04-08,Banking,Electronic banking,System outage,Bank,QLD,"My bank's mobile app and internet banking were down for 3 days during which I could not access my accounts or make payments. This resulted in two direct debit dishonours costing me $60 in fees from billers and a late payment mark on my credit report.",Resolved - in favour of complainant,21,560.00
AFCA-2023-00030,2023-03-20,2023-05-15,Life Insurance,Claim assessment,Mental health,Insurer,WA,"My income protection claim for anxiety and depression has been denied because the insurer says my condition does not meet the policy definition of 'total disability'. My psychiatrist has certified I am unable to work in any capacity but the insurer's medical assessor disagrees after a 30-minute phone assessment.",Resolved - in favour of complainant,56,36000.00
AFCA-2023-00031,2023-03-22,2023-04-12,Credit Card,Balance transfer,Promotional rate,Bank,VIC,"I transferred $12,000 to my credit card on a 0% balance transfer offer for 18 months. After 3 months the bank started charging 19.99% interest claiming I made a purchase on the card which voided the promotional rate. This condition was buried in fine print and not clearly disclosed.",Resolved - in favour of complainant,21,1200.00
AFCA-2023-00032,2023-03-25,2023-05-20,Home Loan,Construction loan,Progress payment delay,Bank,NSW,"My construction loan progress payment of $85,000 has been delayed by 6 weeks despite my builder meeting all requirements. The delay has caused my builder to stop work and is costing me $500 per week in rental accommodation. The bank cannot explain the reason for the delay.",Resolved - in favour of complainant,56,3000.00
AFCA-2023-00033,2023-03-28,2023-04-18,General Insurance,Policy cancellation,Refund dispute,Insurer,SA,"I cancelled my car insurance policy mid-term and was charged a $300 cancellation fee plus a short-rate penalty that reduced my refund by 40%. The PDS mentions a cancellation fee but does not disclose the short-rate calculation method. I expected a pro-rata refund.",Resolved - in favour of complainant,21,450.00
AFCA-2023-00034,2023-04-01,2023-05-25,Personal Loan,Guarantor,Liability dispute,Bank,QLD,"I was asked to be a guarantor for my son's $40,000 business loan. The bank did not properly explain my obligations or the risks involved. My son has defaulted and the bank is now pursuing me for the full amount. I was not given independent legal advice as recommended by the Banking Code.",Resolved - by negotiation,54,20000.00
AFCA-2023-00035,2023-04-03,2023-04-24,Superannuation,Death benefit,Distribution dispute,Super fund,VIC,"My partner passed away and the superannuation fund is distributing the death benefit to his ex-wife instead of me. We have been in a de facto relationship for 8 years and I am listed as the nominated beneficiary. The fund says the nomination had lapsed.",Resolved - in favour of complainant,21,0.00
AFCA-2023-00036,2023-04-05,2023-05-30,Credit Card,Unauthorised transaction,Card skimming,Bank,NSW,"My credit card was skimmed at a petrol station and $6,800 in fraudulent transactions were made over 3 days. I reported the fraud immediately upon discovering it but the bank is holding me liable for $2,000 claiming I was negligent in protecting my card details. I dispute this finding.",Resolved - in favour of complainant,55,6800.00
AFCA-2023-00037,2023-04-08,2023-04-29,Home Loan,Switching,Fixed to variable,Bank,WA,"I requested to switch from a fixed rate to variable rate home loan at the end of my fixed term. The bank delayed processing my request by 3 weeks during which I was charged the revert rate of 6.5% instead of the variable rate of 5.2%. This cost me approximately $1,100 in excess interest.",Resolved - in favour of complainant,21,1100.00
AFCA-2023-00038,2023-04-10,2023-06-05,General Insurance,Scope of cover,Exclusion clause,Insurer,VIC,"My building insurance claim for subsidence damage was denied under a 'earth movement' exclusion. However the subsidence was caused by a burst water main under my property which is covered under 'escape of liquid'. The insurer is applying the wrong exclusion.",Resolved - in favour of complainant,56,65000.00
AFCA-2023-00039,2023-04-12,2023-05-03,Banking,Privacy breach,Data exposure,Bank,TAS,"My bank sent my complete financial statements including account balances and transaction history to another customer with the same surname. This is a serious privacy breach under the Privacy Act. I have suffered distress knowing a stranger has access to my financial information.",Resolved - in favour of complainant,21,2500.00
AFCA-2023-00040,2023-04-15,2023-06-10,Life Insurance,Claim denial,Suicide exclusion,Insurer,QLD,"My husband's life insurance claim was denied under the 13-month suicide exclusion clause. However my husband died in a single vehicle accident and the coroner's report made no finding of intentional self-harm. The insurer has no evidence to support their claim of suicide.",Resolved - in favour of complainant,56,500000.00
AFCA-2023-00041,2023-04-18,2023-05-09,Credit Card,Chargeback,Merchant dispute,Bank,VIC,"I paid $3,500 for furniture that was never delivered. The merchant has gone into liquidation. I requested a chargeback from my bank within the Visa timeframes but they are refusing to process it saying they need proof the merchant cannot deliver. The merchant is in liquidation - that is the proof.",Resolved - in favour of complainant,21,3500.00
AFCA-2023-00042,2023-04-20,2023-06-15,Home Loan,Misleading conduct,Rate lock,Bank,NSW,"I was verbally promised a rate lock on my home loan application but this was not documented. Between application and settlement the rate increased by 0.25%. The bank denies any rate lock was agreed. I have a text message from the loan officer confirming the rate would be held.",Resolved - in favour of complainant,56,0.00
AFCA-2023-00043,2023-04-22,2023-05-13,General Insurance,Repair quality,Workmanship,Insurer,SA,"My insurer arranged repairs to my water-damaged kitchen but the workmanship is substandard. The new cabinetry is misaligned, the benchtop has visible seams, and the plumbing is leaking again. I have had 3 trades back to fix issues and the work is still not acceptable.",Resolved - in favour of complainant,21,8000.00
AFCA-2023-00044,2023-04-25,2023-06-20,Personal Loan,Interest rate,Comparison rate,Non-bank lender,WA,"The advertised comparison rate on my personal loan was 8.5% but the actual total cost when including ongoing fees is equivalent to 12.3%. The lender's advertising is misleading and does not comply with ASIC comparison rate requirements under the National Credit Code.",Resolved - in favour of complainant,56,2400.00
AFCA-2023-00045,2023-04-28,2023-05-19,Superannuation,Advice,Inappropriate switching,Financial adviser,VIC,"My financial adviser switched my superannuation from a low-cost industry fund to a retail fund with higher fees without explaining the fee difference. My annual fees went from $680 to $2,400. Over 5 years this will cost me approximately $8,600 more in fees plus lost investment returns.",Resolved - in favour of complainant,21,8600.00
AFCA-2023-00046,2023-05-01,2023-05-22,Credit Card,Fraud,Identity theft,Bank,QLD,"Someone opened a credit card in my name using stolen identity documents and accumulated $15,000 in charges. The bank approved the application without adequate identity verification. I have a police report and have notified IDCARE. The bank is still pursuing me for the debt.",Resolved - in favour of complainant,21,15000.00
AFCA-2023-00047,2023-05-03,2023-06-25,Home Loan,Settlement,Delay,Bank,NSW,"My home loan settlement was delayed by 2 weeks due to the bank's internal processing errors. I had to pay penalty interest to the vendor of $4,200 and lost my preferred property inspection period. The bank has offered only $500 in compensation which is grossly inadequate.",Resolved - in favour of complainant,53,4200.00
AFCA-2023-00048,2023-05-05,2023-05-26,General Insurance,Total loss,Market value dispute,Insurer,VIC,"My insurer has assessed my flood-damaged vehicle as a total loss and offered $35,000 market value. The vehicle is a modified 4WD with $12,000 in aftermarket accessories that were declared to the insurer. The insurer is refusing to include the accessories in their valuation.",Resolved - in favour of complainant,21,47000.00
AFCA-2023-00049,2023-05-08,2023-06-30,Banking,Business banking,Facility reduction,Bank,TAS,"My business overdraft facility was reduced from $100,000 to $50,000 without adequate notice during a period of seasonal cash flow shortage. This has caused me to dishonour payments to suppliers and is threatening the viability of my business. The bank gave only 7 days notice.",Resolved - by negotiation,53,0.00
AFCA-2023-00050,2023-05-10,2023-05-31,Life Insurance,Cooling off,Refund delay,Insurer,SA,"I cancelled my life insurance policy within the 14-day cooling off period but have not received my refund of $1,200 after 6 weeks. The insurer keeps saying it is being processed but cannot provide a timeline. I am entitled to a full refund under the Insurance Contracts Act.",Resolved - in favour of complainant,21,1200.00
AFCA-2023-00051,2023-05-12,2023-06-02,Credit Card,Foreign transaction,Exchange rate,Bank,WA,"I was charged a foreign transaction fee of 3.5% on purchases made in Australian dollars through international websites. The bank's PDS states the fee only applies to transactions in foreign currency. The merchant processed in AUD so no currency conversion occurred.",Resolved - in favour of complainant,21,280.00
AFCA-2023-00052,2023-05-15,2023-07-10,Home Loan,Responsible lending,Serviceability,Bank,VIC,"I was approved for a $750,000 home loan that I clearly cannot afford based on my income of $85,000. The bank did not properly assess my expenses or existing HECS debt. I am now in arrears and facing potential property loss. The bank failed its responsible lending obligations.",Resolved - in favour of complainant,56,0.00
AFCA-2023-00053,2023-05-18,2023-06-08,General Insurance,Third party,Property damage,Insurer,QLD,"My neighbour's tree fell on my fence and carport during a storm causing $15,000 damage. My insurer says I need to claim against my neighbour's policy. My neighbour is uninsured. I believe my home and contents policy should cover this as storm damage to my property.",Resolved - in favour of complainant,21,15000.00
AFCA-2023-00054,2023-05-20,2023-07-15,Personal Loan,Hardship,Collections during hardship,Non-bank lender,NSW,"Despite having an active financial hardship arrangement my lender has continued to report negative information to credit bureaus and has engaged a debt collector. This is contrary to the hardship arrangement terms and ASIC guidelines on financial hardship obligations.",Resolved - in favour of complainant,56,0.00
AFCA-2023-00055,2023-05-22,2023-06-12,Superannuation,Fees,Duplicate insurance,Super fund,SA,"I have been paying for duplicate life insurance through two superannuation accounts for 4 years without being notified. Under the Protecting Your Super legislation the fund should have consolidated my accounts or at least notified me. I have paid approximately $4,800 in unnecessary premiums.",Resolved - in favour of complainant,21,4800.00
AFCA-2023-00056,2023-05-25,2023-06-15,Credit Card,Payment allocation,Balance allocation,Bank,VIC,"My credit card payments are being allocated to the lowest interest rate balance first instead of the highest. Under ASIC credit card reforms from 2019, payments above the minimum must be allocated to the highest interest rate balance. My bank is not complying with this requirement.",Resolved - in favour of complainant,21,960.00
AFCA-2023-00057,2023-05-28,2023-07-20,Home Loan,Guarantee,Family guarantee,Bank,QLD,"I provided a family guarantee for my daughter's home loan. She has defaulted and the bank is demanding I sell my home to cover the guarantee. The bank did not explain the risks adequately and I was not advised to seek independent legal advice. I am 72 years old and this is my only asset.",Resolved - by negotiation,53,0.00
AFCA-2023-00058,2023-06-01,2023-06-22,General Insurance,Claim handling,Communication,Insurer,WA,"My insurer has not responded to my 6 phone calls and 3 emails over 4 weeks regarding my burglary claim. I have been without essential items including my laptop which I need for work. The lack of communication is causing significant stress and financial impact.",Resolved - in favour of complainant,21,1500.00
AFCA-2023-00059,2023-06-03,2023-07-25,Banking,Credit reporting,Incorrect default,Bank,TAS,"My bank reported a default on my credit file for a debt that was paid in full 2 months before the default was listed. I have proof of payment including bank transfer receipts. The incorrect default is preventing me from obtaining a home loan.",Resolved - in favour of complainant,52,5000.00
AFCA-2023-00060,2023-06-05,2023-06-26,Life Insurance,Definitions,Heart attack,Insurer,VIC,"My trauma insurance claim for a heart attack was denied because the insurer says my cardiac event does not meet their specific medical definition of 'heart attack' which requires a certain level of troponin elevation. My cardiologist confirms I had a myocardial infarction requiring emergency surgery.",Resolved - in favour of complainant,21,200000.00
AFCA-2023-00061,2023-06-08,2023-07-30,Credit Card,Debt waiver,Insurance on card,Bank,NSW,"I purchased credit card debt protection insurance and am unable to work due to injury. My claim under the debt waiver was denied because the insurer says my condition was pre-existing. I developed the condition 3 years after purchasing the insurance and it was not pre-existing at the time of purchase.",Resolved - in favour of complainant,52,8500.00
AFCA-2023-00062,2023-06-10,2023-07-01,Home Loan,Redraw,Redraw facility access,Bank,SA,"My bank has restricted access to my home loan redraw facility of $45,000 without notice. The funds represent additional payments I have made over 5 years. The bank says they are reviewing my account but will not provide a timeframe for releasing the funds. I need the funds for medical expenses.",Resolved - in favour of complainant,21,0.00
AFCA-2023-00063,2023-06-12,2023-08-05,General Insurance,Betterment,Depreciation deduction,Insurer,QLD,"My insurer is deducting 30% from my claim for roof replacement due to 'betterment' claiming my roof was old. My policy is a 'new for old' replacement policy and there is no betterment clause in my PDS. The insurer cannot unilaterally apply betterment deductions not specified in the policy.",Resolved - in favour of complainant,54,18000.00
AFCA-2023-00064,2023-06-15,2023-07-06,Personal Loan,Cooling off,Refund,Non-bank lender,VIC,"I cancelled a personal loan within the cooling off period but the lender retained establishment fees of $800 and interest charges. Under the National Credit Code I am entitled to a refund of all fees and charges paid minus any credit fees or charges that are government fees or charges.",Resolved - in favour of complainant,21,800.00
AFCA-2023-00065,2023-06-18,2023-08-10,Superannuation,Investment performance,Misleading returns,Super fund,WA,"My superannuation fund's marketing materials showed historical returns of 9.5% p.a. but my actual returns over 3 years have averaged only 4.2%. The fund's advertising used a different investment option's performance data to the option I was enrolled in. This is misleading conduct.",Resolved - in favour of complainant,53,0.00
AFCA-2023-00066,2023-06-20,2023-07-11,Credit Card,Cash advance,ATM withdrawal fee,Bank,QLD,"I was charged cash advance fees and interest from the date of withdrawal for an ATM transaction at my own bank's ATM. The transaction should have been processed as a normal savings withdrawal from my linked account but was incorrectly processed as a credit card cash advance.",Resolved - in favour of complainant,21,120.00
AFCA-2023-00067,2023-06-22,2023-08-15,Home Loan,Mortgage insurance,LMI refund,Bank,NSW,"I paid $12,000 in Lenders Mortgage Insurance when I took out my home loan. I refinanced after 2 years and was told LMI is non-refundable. I believe I am entitled to a partial refund as the insurance period is typically for the life of the loan and I have substantially reduced the risk.",Resolved - by negotiation,54,4000.00
AFCA-2023-00068,2023-06-25,2023-07-16,General Insurance,Emergency repairs,Authorisation delay,Insurer,SA,"My home suffered a burst pipe causing flooding to 3 rooms. My insurer took 4 days to authorise emergency make-safe repairs during which time the water damage spread significantly. The additional damage cost an extra $12,000 to repair which the insurer is now disputing.",Resolved - in favour of complainant,21,12000.00
AFCA-2023-00069,2023-06-28,2023-08-20,Banking,Merchant facility,Withholding funds,Bank,VIC,"My bank is withholding $28,000 from my merchant facility due to an excessive chargeback ratio. However the chargebacks are from a single fraudulent customer and I have provided evidence of delivery for all disputed transactions. The bank is causing severe cash flow problems for my small business.",Resolved - in favour of complainant,53,28000.00
AFCA-2023-00070,2023-07-01,2023-07-22,Life Insurance,Beneficiary,Nomination dispute,Insurer,TAS,"My ex-husband changed the beneficiary on his life insurance policy 2 days before his death. The change was made while he was in hospital under heavy medication. My children should be the beneficiaries as per the original nomination. I question his capacity to make the change.",Resolved - by negotiation,21,0.00
AFCA-2023-00071,2023-07-03,2023-08-25,Credit Card,Loyalty program,Terms change,Bank,WA,"My credit card loyalty program terms were changed reducing the earn rate from 1.5 points per dollar to 0.75 points. The bank gave 30 days notice but I had specifically chosen this card for the earn rate and pay a $395 annual fee. I believe I should be released from my annual fee obligation.",Resolved - by negotiation,53,395.00
AFCA-2023-00072,2023-07-05,2023-07-26,Home Loan,Application,Unreasonable delay,Bank,NSW,"My home loan application has been in processing for 8 weeks with no decision. I have provided all requested documentation promptly. The delay has caused me to miss the sunset date on my property purchase contract and I have lost my $25,000 deposit.",Resolved - in favour of complainant,21,25000.00
AFCA-2023-00073,2023-07-08,2023-08-28,General Insurance,Natural disaster,Flood definition,Insurer,QLD,"My flood damage claim was denied because the insurer says the water entered my property from a creek overflow which is defined as 'flood' and excluded. However the water first entered through storm-driven rain before the creek overflowed. I believe the primary cause was storm not flood.",Resolved - in favour of complainant,51,35000.00
AFCA-2023-00074,2023-07-10,2023-07-31,Personal Loan,Direct debit,Unauthorised debit,Non-bank lender,VIC,"My personal loan lender continued to direct debit my account after I cancelled the arrangement and provided a new payment method. Three unauthorised debits of $580 each were taken causing my account to go into overdraft and incur $90 in fees.",Resolved - in favour of complainant,21,1830.00
AFCA-2023-00075,2023-07-12,2023-09-01,Superannuation,Rollover,Lost in transfer,Super fund,SA,"I requested a rollover of $120,000 from one super fund to another. The money left my old fund 6 weeks ago but has not arrived at my new fund. Both funds say the other is responsible. In the meantime I have missed 6 weeks of investment returns on a significant sum.",Resolved - in favour of complainant,51,0.00
AFCA-2023-00076,2023-07-15,2023-08-05,Credit Card,Supplementary card,Liability,Bank,QLD,"I gave my adult son a supplementary credit card with a $2,000 limit. He spent $8,000 by requesting and being granted a temporary limit increase without my knowledge. The bank should not have increased the limit on a supplementary card without the primary cardholder's authorisation.",Resolved - in favour of complainant,21,6000.00
AFCA-2023-00077,2023-07-18,2023-09-10,Home Loan,Fixed rate,Early exit fee,Bank,WA,"I am selling my home and my bank is charging a $28,000 fixed rate break cost. The break cost calculation appears to use a wholesale rate that does not align with publicly available swap rates. I have asked for a detailed calculation but the bank has refused to provide one.",Resolved - in favour of complainant,54,14000.00
AFCA-2023-00078,2023-07-20,2023-08-10,General Insurance,Motor vehicle,Repair vs replace,Insurer,VIC,"My insurer wants to repair my accident-damaged vehicle rather than writing it off. The repair quote is $18,000 which is 75% of the vehicle's market value. I believe the vehicle should be written off as the structural integrity cannot be guaranteed after such extensive repairs.",Resolved - by negotiation,21,24000.00
AFCA-2023-00079,2023-07-22,2023-09-15,Banking,Term deposit,Early withdrawal,Bank,TAS,"I need to access my $50,000 term deposit early due to medical emergency. My bank is charging an early withdrawal penalty of $2,800 which I believe is excessive. Given the medical circumstances I believe the bank should waive or significantly reduce the penalty under their hardship policy.",Resolved - in favour of complainant,55,2800.00
AFCA-2023-00080,2023-07-25,2023-08-15,Life Insurance,Waiting period,Claim timing,Insurer,NSW,"My income protection claim was denied because the insurer says my disability commenced during the 90-day waiting period. My medical evidence shows symptoms began after the waiting period ended. The insurer is relying on a single GP note that mentions 'initial symptoms' during the waiting period.",Resolved - in favour of complainant,21,18000.00
AFCA-2023-00081,2023-07-28,2023-09-20,Credit Card,Hardship,Minimum payment,Bank,VIC,"I applied for financial hardship assistance on my credit card and was offered a reduced minimum payment of $100 per month. However the bank is still charging the full interest rate of 21.99% which means my balance is increasing despite making payments. This is not genuine hardship assistance.",Resolved - in favour of complainant,54,0.00
AFCA-2023-00082,2023-08-01,2023-08-22,Home Loan,Consent,Joint borrower,Bank,QLD,"My ex-partner took out an additional $50,000 on our joint home loan without my knowledge or consent. The bank processed the increase based on a forged signature. I am now liable for a debt I did not agree to. The bank failed to properly verify my consent.",Resolved - in favour of complainant,21,50000.00
AFCA-2023-00083,2023-08-03,2023-09-25,General Insurance,Business interruption,COVID claim,Insurer,SA,"My business interruption insurance claim relating to COVID-19 government restrictions was denied. Following the AFCA test case ruling my policy should cover these losses as it does not contain a specific pandemic exclusion. The insurer is not following the test case determination.",Resolved - in favour of complainant,53,85000.00
AFCA-2023-00084,2023-08-05,2023-08-26,Personal Loan,Documentation,Incomplete disclosure,Non-bank lender,WA,"My personal loan contract does not include all required information under the National Credit Code including the total amount of interest payable and the comparison rate. I believe the contract is non-compliant and I should not be liable for interest charges above the disclosed amount.",Resolved - in favour of complainant,21,3600.00
AFCA-2023-00085,2023-08-08,2023-09-28,Superannuation,Binding nomination,Validity,Super fund,VIC,"My mother's binding death benefit nomination was rejected by the superannuation fund because it was witnessed by a fund employee instead of two independent witnesses over 18. The fund should have informed my mother that the nomination was invalid when it was lodged 3 years ago.",Resolved - in favour of complainant,51,0.00
AFCA-2023-00086,2023-08-10,2023-08-31,Credit Card,Contactless payment,Tap and go fraud,Bank,NSW,"My credit card was stolen and used for 47 contactless transactions totalling $4,700 before I noticed and reported it. The bank is holding me liable for all transactions under $100 saying I should have reported the theft sooner. I did not know the card was stolen until I checked my statement.",Resolved - in favour of complainant,21,4700.00
